Date,Movement,Actuator,Expected Value,Mean,Median,Standard Deviation
2023-09-18,movement_1,actuator_1,22.690292358398438,22.826479312693795,22.826828002929688,0.001567820389737232
2023-09-18,movement_2,actuator_1,36.26722717285156,36.39815386711162,36.39791870117188,0.0017515471148041402
2023-09-18,movement_3,actuator_1,22.690292358398438,22.57446136748228,22.57481384277344,0.0019262361134550628
2023-09-18,movement_4,actuator_1,7.6923065185546875,7.545259228311323,7.545166015625,0.0011350631983259023
2023-09-18,movement_5,actuator_1,7.6994171142578125,7.691935583138566,7.692718505859375,0.003537076131104952
2023-09-18,movement_6,actuator_1,7.6923065185546875,7.691068832844371,7.6910400390625,0.0009063254962868158
2023-09-18,movement_7,actuator_1,0,359.9598416398545,359.9601135253906,0.001895640344003134
2023-09-18,movement_1,actuator_2,347.787841796875,347.7827412935338,347.78289794921875,0.0013463636682987112
2023-09-18,movement_2,actuator_2,336.98724365234375,336.92062454542855,336.920654296875,0.00048014684844247994
2023-09-18,movement_3,actuator_2,347.787841796875,347.7895055429991,347.7895202636719,0.0006012810815752288
2023-09-18,movement_4,actuator_2,293.3585205078125,293.2633044054176,293.26611328125,0.007685041937822788
2023-09-18,movement_5,actuator_2,288.1332702636719,287.99896911511644,287.99884033203125,0.002475258828728984
2023-09-18,movement_6,actuator_2,293.3585205078125,293.29529935901775,293.295166015625,0.000950743818614175
2023-09-18,movement_7,actuator_2,344,343.9958733594567,343.99591064453125,0.0024403583774641525
2023-09-18,movement_1,actuator_3,91.1580810546875,91.3439366989911,91.34512329101562,0.004204282365930691
2023-09-18,movement_2,actuator_3,85.48641967773438,85.5840787186426,85.58306884765625,0.004513289997060574
2023-09-18,movement_3,actuator_3,91.1580810546875,91.3050611351182,91.30508422851562,0.0008534198380667699
2023-09-18,movement_4,actuator_3,36.652435302734375,36.645767449050055,36.645599365234375,0.0014049867205850075
2023-09-18,movement_5,actuator_3,38.8013916015625,38.972473208375554,38.97042846679688,0.010635200118465703
2023-09-18,movement_6,actuator_3,36.652435302734375,36.772968910158,36.77642822265625,0.011361793504364446
2023-09-18,movement_7,actuator_3,75,75.22395159623898,75.22425842285156,0.002284043888249704
2023-09-18,movement_1,actuator_4,345.40728759765625,345.32857570431577,345.32867431640625,0.0014200280034765425
2023-09-18,movement_2,actuator_4,350.34735107421875,350.3528249937834,350.35284423828125,0.001779567549013412
2023-09-18,movement_3,actuator_4,345.40728759765625,345.34120113466287,345.34136962890625,0.001891108902202416
2023-09-18,movement_4,actuator_4,270.0581359863281,270.011067155016,270.0108642578125,0.004375632050514005
2023-09-18,movement_5,actuator_4,270.02423095703125,270.08043185893604,270.08038330078125,0.0010577138245889384
2023-09-18,movement_6,actuator_4,270.0581359863281,270.09122388147694,270.0911865234375,0.001015276817078691
2023-09-18,movement_7,actuator_4,0,0.29751921640636675,0.0824432373046875,8.794723648039286
2023-09-18,movement_1,actuator_5,300.799072265625,300.80861149871697,300.8086242675781,0.0008800329349848587
2023-09-18,movement_2,actuator_5,314.64813232421875,314.73779546779855,314.73736572265625,0.0019473324841233588
2023-09-18,movement_3,actuator_5,300.799072265625,300.6193628396663,300.6168212890625,0.005304037796906255
2023-09-18,movement_4,actuator_5,283.05670166015625,283.0126230225047,283.0128479003906,0.0013779101255293282
2023-09-18,movement_5,actuator_5,290.4320068359375,290.54129615687924,290.5453796386719,0.020234080162914118
2023-09-18,movement_6,actuator_5,283.05670166015625,282.9908764845443,282.9935607910156,0.006007751776712912
2023-09-18,movement_7,actuator_5,300,300.06364108015515,300.06304931640625,0.012185623092536206
2023-09-18,movement_1,actuator_6,352.2476806640625,352.20236005401154,352.2025451660156,0.0009772339931724296
2023-09-18,movement_2,actuator_6,350.21044921875,350.2277198513325,350.2278137207031,0.0009470077922060701
2023-09-18,movement_3,actuator_6,352.2476806640625,352.23546223204363,352.23541259765625,0.00106574607104279
2023-09-18,movement_4,actuator_6,97.69122314453125,98.09509479821405,98.09600830078124,0.0036489419565929894
2023-09-18,movement_5,actuator_6,97.71112060546875,97.69487699062897,97.69482421875,0.0007555050775711628
2023-09-18,movement_6,actuator_6,97.69122314453125,97.69422586991698,97.69418334960938,0.0006690000080831048
2023-09-18,movement_7,actuator_6,0,359.3771740992626,359.59161376953125,8.788763457024993
2023-09-23,movement_1,actuator_1,22.690292358398438,23.02995370310915,22.841476440429688,7.973225873815185
2023-09-23,movement_2,actuator_1,36.26722717285156,36.39170022803308,36.391632080078125,0.001451523481027791
2023-09-23,movement_3,actuator_1,22.690292358398438,22.585994436544752,22.58651733398437,0.0038389949253049486
2023-09-23,movement_4,actuator_1,7.6923065185546875,7.571140462216813,7.5715179443359375,0.010567123166736912
2023-09-23,movement_5,actuator_1,7.6994171142578125,7.678900421432896,7.678909301757812,0.0012276283190846638
2023-09-23,movement_6,actuator_1,7.6923065185546875,7.6828871322999,7.682952880859375,0.0006051331421037713
2023-09-23,movement_7,actuator_1,0,359.7633918373693,359.9606628417969,8.331176400065885
2023-09-23,movement_1,actuator_2,347.787841796875,347.7739158250396,347.7754211425781,0.09053094925863212
2023-09-23,movement_2,actuator_2,336.98724365234375,336.9158172180483,336.9183959960937,0.0056839733815222905
2023-09-23,movement_3,actuator_2,347.787841796875,347.7886346561921,347.79278564453125,0.007605508628899757
2023-09-23,movement_4,actuator_2,293.3585205078125,293.26687451294833,293.26788330078125,0.0037633742645438034
2023-09-23,movement_5,actuator_2,288.1332702636719,288.0063568952034,288.00640869140625,0.0006189590971002032
