Date,Movement,Actuator,Mode,Min,Max,Mean,Median,Standard Deviation
2023-09-18,movement_1,actuator_1,19,15,29,19.28392109982068,18,3.686305043810431
2023-09-18,movement_2,actuator_1,19,15,29,19.28392109982068,18.0,3.68662932643723
2023-09-18,movement_3,actuator_1,19,15,29,19.28392109982068,18,3.6872237705138677
2023-09-18,movement_4,actuator_1,19,15,29,19.28392109982068,18.0,3.6875614801391237
2023-09-18,movement_5,actuator_1,19,15,29,19.28404064554692,18,3.6872848097107376
2023-09-18,movement_6,actuator_1,19,15,29,19.28421996413628,18.0,3.6869981034948003
2023-09-18,movement_7,actuator_1,19,15,29,19.284091879429596,18,3.687310967870762
2023-09-18,movement_1,actuator_2,19,15,29,19.284070531978482,18.0,3.6871852428038228
2023-09-18,movement_2,actuator_2,19,15,29,19.284053928405392,18,3.6871595035703595
2023-09-18,movement_3,actuator_2,19,15,29,19.28404064554692,18.0,3.687284809710738
2023-09-18,movement_4,actuator_2,19,15,29,19.284029777753627,18,3.6874020661253857
2023-09-18,movement_5,actuator_2,19,15,29,19.284070531978482,18.0,3.687300068746483
2023-09-18,movement_6,actuator_2,19,15,29,19.284150995448066,18,3.687166572779665
2023-09-18,movement_7,actuator_2,19,15,29,19.284091879429596,18.0,3.687310967870762
2023-09-18,movement_1,actuator_3,19,15,29,19.284080494122335,18,3.687243915050587
2023-09-18,movement_2,actuator_3,19,15,29,19.284070531978482,18.0,3.6872257700154303
2023-09-18,movement_3,actuator_3,19,15,29,19.284061741851552,18,3.6872955808264942
2023-09-18,movement_4,actuator_3,19,15,29,19.284053928405392,18.0,3.6873666394180824
2023-09-18,movement_5,actuator_3,19,15,29,19.284078396828892,18,3.68730408423145
2023-09-18,movement_6,actuator_3,19,15,29,19.2841303048416,18.0,3.6872171118125765
2023-09-18,movement_7,actuator_3,19,15,29,19.284091879429596,18,3.687310967870762
2023-09-18,movement_1,actuator_4,19,15,29,19.2840841167201,18.0,3.6872652501749026
2023-09-18,movement_2,actuator_4,19,15,29,19.284077029028822,18,3.687251700018966
2023-09-18,movement_3,actuator_4,19,15,29,19.284070531978482,18.0,3.687300068746483
2023-09-18,movement_4,actuator_4,19,15,29,19.28406455469217,18,3.6873510515089305
2023-09-18,movement_5,actuator_4,19,15,29,19.28408202675985,18.0,3.6873059375250707
2023-09-18,movement_6,actuator_4,19,15,29,19.284120342697747,18,3.68724144513255
2023-09-18,movement_7,actuator_4,19,15,29,19.284091879429596,18.0,3.687310967870762
2023-09-18,movement_1,actuator_5,19,15,29,19.284085990477564,18,3.6872762855341943
2023-09-18,movement_2,actuator_5,19,15,29,19.284080494122335,18.0,3.6872655292749443
2023-09-18,movement_3,actuator_5,19,15,29,19.284075352370667,18,3.6873025298526816
2023-09-18,movement_4,actuator_5,19,15,29,19.284070531978482,18.0,3.687342283267616
2023-09-18,movement_5,actuator_5,19,15,29,19.2840841167201,18,3.6873070045708696
2023-09-18,movement_6,actuator_5,19,15,29,19.28411448261313,18.0,3.687255758762595
2023-09-18,movement_7,actuator_5,19,15,29,19.284091879429596,18,3.687310967870762
2023-09-18,movement_1,actuator_6,19,15,29,19.28408713555157,18.0,3.687283029348146
2023-09-18,movement_2,actuator_6,19,15,29,19.284082648099385,18,3.6872741258116877
2023-09-18,movement_3,actuator_6,19,15,29,19.284078396828892,18.0,3.68730408423145
2023-09-18,movement_4,actuator_6,19,15,29,19.284074363572273,18,3.6873366625840447
2023-09-18,movement_5,actuator_6,19,15,29,19.28408547519426,18.0,3.6873076981498376
2023-09-18,movement_6,actuator_6,19,15,29,19.284110623533014,18,3.6872651847762197
2023-09-18,movement_7,actuator_6,19,15,29,19.284091879429596,18.0,3.687310967870762
2023-09-23,movement_1,actuator_1,19,15,45,19.254604249649564,18,3.6806820619372567
2023-09-23,movement_2,actuator_1,19,15,46,19.22657096424702,18.0,3.674535863277321
2023-09-23,movement_3,actuator_1,19,15,46,19.19988892855726,18,3.6684698343166504
2023-09-23,movement_4,actuator_1,18,15,46,19.17447748469269,18.0,3.6624932884647574
2023-09-23,movement_5,actuator_1,18,15,46,19.15023800204543,18,3.656507876106374
2023-09-23,movement_6,actuator_1,18,15,46,19.12711759766879,18.0,3.6506726139239634
2023-09-23,movement_7,actuator_1,18,15,46,19.10481425551193,18,3.644688288655691
2023-09-23,movement_1,actuator_2,18,15,46,19.083477211986473,18.0,3.638776716238719
2023-09-23,movement_2,actuator_2,18,15,46,19.063046474191943,18,3.633323821560095
2023-09-23,movement_3,actuator_2,18,15,46,19.043466914768086,18.0,3.627975922331764
2023-09-23,movement_4,actuator_2,18,15,46,19.024698909066647,18,3.622734859695034
2023-09-23,movement_5,actuator_2,18,15,46,19.00668411296478,18.0,3.6175086755912407
2023-09-23,movement_6,actuator_2,18,15,46,18.989400729435168,18,3.612431958342738
2023-09-23,movement_7,actuator_2,18,15,46,18.972608202846228,18.0,3.607231138650801
2023-09-23,movement_1,actuator_3,18,15,46,18.95645455388324,18,3.6021037633685955
2023-09-23,movement_2,actuator_3,18,15,46,18.940905136660664,18.0,3.597387404489464
2023-09-23,movement_3,actuator_3,18,15,46,18.925927765909883,18,3.5927693177558946
2023-09-23,movement_4,actuator_3,18,15,46,18.911502264917214,18.0,3.588249528247835
2023-09-23,movement_5,actuator_3,18,15,46,18.89759065045721,18,3.5837444412611372
2023-09-23,movement_6,actuator_3,18,15,46,18.884185800803728,18.0,3.579372609759708
2023-09-23,movement_7,actuator_3,18,15,46,18.871086248643234,18,3.574884137473176
2023-09-23,movement_1,actuator_4,18,15,46,18.858432195656142,18.0,3.570458452287463
2023-09-23,movement_2,actuator_4,18,15,46,18.846202196341824,18,3.566396987468159
2023-09-23,movement_3,actuator_4,18,15,46,18.834376159923643,18.0,3.5624201958020683
2023-09-23,movement_4,actuator_4,18,15,46,18.82294394515447,18,3.558527854307833
2023-09-23,movement_5,actuator_4,18,15,46,18.81187889795079,18.0,3.55464413131355
2023-09-23,movement_6,actuator_4,18,15,46,18.8011812850694,18,3.5508756914214636
2023-09-23,movement_7,actuator_4,18,15,46,18.790676796728235,18.0,3.5469932248926286
2023-09-23,movement_1,actuator_5,18,15,46,18.780496195398438,18,3.5431615179001206
