time,error_vector
08:01:24,0.0016747582383546138
08:01:39,0.001672576949058565
08:01:54,0.0017132417355060407
08:02:09,0.0017184106467944495
08:02:24,0.0016979827227973116
08:02:39,0.0017001520078533667
08:02:54,0.0016970154019808757
08:03:09,0.0016757051000810383
08:03:24,0.0016641864275984321
08:03:39,0.0016779976828731455
08:03:55,0.0016778308473398163
08:04:10,0.001667211103603675
08:04:25,0.0016981412409986026
08:04:40,0.001725729411499924
08:04:55,0.001670462427864954
08:05:10,0.001700472806454584
08:05:25,0.001680100532940009
08:05:40,0.0016572562188696828
08:05:55,0.0016830013304405024
08:06:10,0.0016693945314429095
08:06:25,0.0017163638341182626
08:06:40,0.0017060230138328859
08:06:55,0.0016803137959405263
08:07:10,0.0016846923486068294
08:07:26,0.0016688996440617258
08:07:41,0.0016727987655076962
08:07:56,0.0016708062743137676
08:08:11,0.0016392621455989164
08:08:26,0.0016460111312755564
08:08:41,0.0016221758270143394
08:08:56,0.0016526515403539098
08:09:11,0.0016876193566754231
08:09:26,0.0016679274970777963
08:09:41,0.0017127031761826352
08:09:56,0.0016850386345489043
08:10:11,0.00170234519980838
08:10:27,0.0017003459033987699
08:10:42,0.0017121095820964362
08:10:57,0.001676840397165597
08:11:12,0.00167307560041486
08:11:27,0.0016703064956835375
08:11:42,0.0016687624978929997
08:11:57,0.001678223549573656
08:12:12,0.0016685541696941687
08:12:27,0.0016622099917630462
08:12:42,0.0016788172450308127
08:12:57,0.0016762812694614136
08:13:12,0.0016776418460797311
08:13:27,0.0017001096110248195
08:13:42,0.0016564792199288715
08:13:58,0.0016853321785862665
08:14:13,0.0016727353567575886
08:14:28,0.0016716585927943933
08:14:43,0.0016917333503512599
08:14:58,0.0016578806056845904
08:15:13,0.001669980696160293
08:15:28,0.0016565974189383143
08:15:43,0.0016563587806765123
08:15:59,0.0016632290614470278
08:16:14,0.00167789381477086
08:16:29,0.001693396043624335
08:16:44,0.0016674370458522505
08:16:59,0.001703185640857465
08:17:14,0.0016654757060969967
08:17:29,0.001679333132091113
08:17:45,0.0016771120306589419
08:18:00,0.0016660311651628041
08:18:15,0.0016930866319124424
08:18:30,0.0016543375267917546
08:18:46,0.0016722051037372195
08:19:01,0.0016603000875073154
08:19:16,0.0016731692268824505
08:19:31,0.001670381099314945
08:19:47,0.0016883086937739878
08:20:02,0.001682240440973266
08:20:17,0.0016555543650816728
08:20:32,0.0016838497416925252
08:20:47,0.0016732563917591435
08:21:03,0.0016757527352842454
08:21:18,0.0016575619846188724
08:21:33,0.0016604550929009898
08:21:48,0.0016547947833049058
08:22:04,0.0016772563389745939
08:22:20,0.0016797509157340852
08:22:35,0.0016481733284749354
08:22:51,0.001677798088111227
08:23:06,0.0016651600516451803
08:23:22,0.0016701910471681554
